open,high,low,close,volume,timestamp,date
525.95,529.45,520.9,522.5,461655.0,2025-06-05 18:30:00,2025-06-05 18:30:00
523.8,529.9,521.65,523.5,506308.0,2025-06-08 18:30:00,2025-06-08 18:30:00
527.0,539.9,524.95,527.15,1277021.0,2025-06-09 18:30:00,2025-06-09 18:30:00
530.0,537.8,513.7,515.05,1024557.0,2025-06-10 18:30:00,2025-06-10 18:30:00
517.95,523.95,501.3,505.05,594914.0,2025-06-11 18:30:00,2025-06-11 18:30:00
494.95,508.8,492.95,503.55,465799.0,2025-06-12 18:30:00,2025-06-12 18:30:00
501.0,511.75,491.0,504.7,696554.0,2025-06-15 18:30:00,2025-06-15 18:30:00
507.7,510.6,498.0,502.5,416600.0,2025-06-16 18:30:00,2025-06-16 18:30:00
499.9,508.85,492.65,501.05,605892.0,2025-06-17 18:30:00,2025-06-17 18:30:00
501.05,506.9,481.0,487.2,488171.0,2025-06-18 18:30:00,2025-06-18 18:30:00
485.9,493.9,484.35,488.6,392746.0,2025-06-19 18:30:00,2025-06-19 18:30:00
485.0,497.3,481.0,493.75,417308.0,2025-06-22 18:30:00,2025-06-22 18:30:00
498.0,503.7,489.4,491.4,399598.0,2025-06-23 18:30:00,2025-06-23 18:30:00
494.0,505.85,492.3,493.75,503102.0,2025-06-24 18:30:00,2025-06-24 18:30:00
496.5,500.55,492.75,495.35,313340.0,2025-06-25 18:30:00,2025-06-25 18:30:00
498.8,529.0,496.0,509.7,2793402.0,2025-06-26 18:30:00,2025-06-26 18:30:00
512.0,521.95,505.85,510.0,976091.0,2025-06-29 18:30:00,2025-06-29 18:30:00
512.6,524.0,510.6,513.35,646235.0,2025-06-30 18:30:00,2025-06-30 18:30:00
510.9,512.9,500.15,502.9,571996.0,2025-07-01 18:30:00,2025-07-01 18:30:00
503.0,508.45,502.2,505.65,288061.0,2025-07-02 18:30:00,2025-07-02 18:30:00
505.65,510.7,502.35,505.45,257541.0,2025-07-03 18:30:00,2025-07-03 18:30:00
505.5,506.0,487.1,489.25,522874.0,2025-07-06 18:30:00,2025-07-06 18:30:00
489.25,498.0,488.05,494.45,286939.0,2025-07-07 18:30:00,2025-07-07 18:30:00
496.9,499.85,492.0,493.25,245905.0,2025-07-08 18:30:00,2025-07-08 18:30:00
494.0,506.6,494.0,501.15,480238.0,2025-07-09 18:30:00,2025-07-09 18:30:00
501.7,513.4,499.85,505.45,617460.0,2025-07-10 18:30:00,2025-07-10 18:30:00
504.8,535.95,494.55,531.45,3208968.0,2025-07-13 18:30:00,2025-07-13 18:30:00
535.7,541.65,528.05,531.9,1440257.0,2025-07-14 18:30:00,2025-07-14 18:30:00
534.0,557.0,533.2,550.45,3731594.0,2025-07-16 18:30:00,2025-07-16 18:30:00
559.0,563.0,537.0,539.3,1572704.0,2025-07-17 18:30:00,2025-07-17 18:30:00
546.0,559.0,535.5,538.65,1354391.0,2025-07-20 18:30:00,2025-07-20 18:30:00
539.05,549.0,538.0,540.65,579918.0,2025-07-21 18:30:00,2025-07-21 18:30:00
541.65,544.0,531.3,541.15,506121.0,2025-07-22 18:30:00,2025-07-22 18:30:00
543.0,547.9,528.1,530.8,514231.0,2025-07-23 18:30:00,2025-07-23 18:30:00
531.7,532.0,508.6,513.7,679840.0,2025-07-24 18:30:00,2025-07-24 18:30:00
514.0,522.8,507.05,514.85,441672.0,2025-07-27 18:30:00,2025-07-27 18:30:00
514.05,527.0,510.6,525.35,396580.0,2025-07-28 18:30:00,2025-07-28 18:30:00
551.35,619.0,542.1,573.1,46705589.0,2025-07-30 18:30:00,2025-07-30 18:30:00
576.0,583.7,525.3,532.6,6685699.0,2025-07-31 18:30:00,2025-07-31 18:30:00
535.85,542.65,520.7,530.25,2965972.0,2025-08-03 18:30:00,2025-08-03 18:30:00
533.95,540.0,523.55,527.35,1090556.0,2025-08-04 18:30:00,2025-08-04 18:30:00
529.0,535.45,518.7,522.95,1073836.0,2025-08-05 18:30:00,2025-08-05 18:30:00
521.0,525.0,509.0,519.75,688897.0,2025-08-06 18:30:00,2025-08-06 18:30:00
519.0,520.75,503.4,505.8,460883.0,2025-08-07 18:30:00,2025-08-07 18:30:00
504.8,513.65,500.0,505.55,567368.0,2025-08-10 18:30:00,2025-08-10 18:30:00
506.0,514.35,501.1,507.0,636458.0,2025-08-11 18:30:00,2025-08-11 18:30:00
508.05,513.0,501.8,503.0,365106.0,2025-08-12 18:30:00,2025-08-12 18:30:00
505.0,507.25,495.1,504.3,554749.0,2025-08-13 18:30:00,2025-08-13 18:30:00
508.05,520.7,501.0,513.9,814327.0,2025-08-17 18:30:00,2025-08-17 18:30:00
516.0,519.85,508.0,509.55,654107.0,2025-08-18 18:30:00,2025-08-18 18:30:00
509.0,512.55,500.65,502.0,553727.0,2025-08-19 18:30:00,2025-08-19 18:30:00
505.0,508.85,495.6,496.65,537998.0,2025-08-20 18:30:00,2025-08-20 18:30:00
498.9,501.4,485.0,486.7,575554.0,2025-08-21 18:30:00,2025-08-21 18:30:00
489.0,493.2,485.25,490.95,376168.0,2025-08-24 18:30:00,2025-08-24 18:30:00
490.0,490.0,476.0,478.2,334890.0,2025-08-25 18:30:00,2025-08-25 18:30:00
476.1,479.85,470.0,470.95,303576.0,2025-08-27 18:30:00,2025-08-27 18:30:00
471.0,473.1,459.8,462.0,363586.0,2025-08-28 18:30:00,2025-08-28 18:30:00
466.6,480.75,465.15,478.45,491006.0,2025-08-31 18:30:00,2025-08-31 18:30:00
479.0,498.0,475.6,478.25,800647.0,2025-09-01 18:30:00,2025-09-01 18:30:00
481.5,495.0,478.4,490.25,598186.0,2025-09-02 18:30:00,2025-09-02 18:30:00
494.3,510.8,493.0,496.6,1632493.0,2025-09-03 18:30:00,2025-09-03 18:30:00
498.8,501.0,490.4,492.45,415169.0,2025-09-04 18:30:00,2025-09-04 18:30:00
